date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-08-04 09:00:00,185.75,191.598,185.08,185.33,403028.0,-1.5229,186.808,23.7738,187.9423661192088,186.808,185.6736338807912
2023-08-04 09:15:00,185.331,186.51,184.801,185.31,551705.0,-1.2244,186.6932,23.6825,187.37785412791052,186.6932,186.00854587208946
2023-08-04 09:30:00,185.271,187.129,183.003,185.09,16812697.0,-1.5096,186.5514,22.6748,187.52709032751986,186.5514,185.57570967248014
2023-08-04 09:45:00,185.081,186.889,184.496,185.045,8333107.0,-1.3604,186.4237,22.469,187.75033017273682,186.4237,185.09706982726317
2023-08-04 10:00:00,185.051,185.311,184.022,184.801,5952496.0,-1.5639,186.277,21.3621,187.97618574617698,186.277,184.577814253823
2023-08-04 10:15:00,184.786,185.521,184.691,184.861,3723118.0,-1.5319,186.1331,22.3522,188.06497280586035,186.1331,184.20122719413968
2023-08-04 10:30:00,184.851,185.386,184.741,185.0,3114293.0,-1.3002,186.0113,24.6653,188.11403081675482,186.0113,183.9085691832452
2023-08-04 10:45:00,185.001,185.23,184.661,185.11,2782863.0,-1.1729,185.9014,26.4895,188.1986908071558,185.9014,183.6041091928442
2023-08-04 11:00:00,185.121,186.125,184.98,185.31,3232290.0,-1.1295,185.7956,29.7454,188.29040286556327,185.7956,183.30079713443675
2023-08-04 11:15:00,185.321,185.411,184.93,185.06,2016211.0,-1.2524,185.6782,28.1074,188.31523142396998,185.6782,183.04116857603003
2023-08-04 11:30:00,185.066,185.082,184.681,184.776,2686461.0,-1.4512,185.5422,26.3708,188.35859438920875,185.5422,182.72580561079127
2023-08-04 11:45:00,184.771,185.531,184.766,185.35,2470022.0,-0.9396,185.4543,34.9245,188.39912024312832,185.4543,182.50947975687166
2023-08-04 12:00:00,185.356,185.431,185.01,185.245,1508888.0,-0.7836,185.3811,34.1603,188.37100884701545,185.3811,182.39119115298456
2023-08-04 12:15:00,185.241,185.241,184.831,185.23,1549515.0,-0.4937,185.3352,34.0483,188.3319386738825,185.3352,182.33846132611748
2023-08-04 12:30:00,185.231,185.246,184.94,185.15,1237048.0,-0.5741,185.2817,33.4328,188.17952146746842,185.2817,182.38387853253158
2023-08-04 12:45:00,185.116,185.221,184.94,184.971,1164381.0,-0.7661,185.2103,32.0674,189.83137722891172,185.2103,180.58922277108826
2023-08-04 13:00:00,184.981,185.012,184.701,184.731,2194716.0,-0.6069,185.1539,30.3198,189.68847689909566,185.1539,180.61932310090432
2023-08-04 13:15:00,184.722,184.842,184.541,184.731,2341510.0,-0.4521,185.112,30.3198,189.55798057202173,185.112,180.66601942797826
2023-08-04 13:30:00,184.732,184.922,184.661,184.8,1468613.0,-0.3129,185.083,31.5088,189.42593208686506,185.083,180.74006791313494
2023-08-04 13:45:00,184.796,184.91,184.621,184.661,1814427.0,-0.5911,185.0281,30.4085,189.2298946556996,185.0281,180.82630534430038
2023-08-04 14:00:00,184.662,184.667,183.572,183.772,4356348.0,-0.8407,184.9502,24.6202,188.98832626501135,184.9502,180.91207373498864
2023-08-04 14:15:00,183.775,183.913,182.933,183.118,4845992.0,-1.1829,184.8406,21.4573,188.77836588720902,184.8406,180.90283411279097
2023-08-04 14:30:00,183.119,183.304,182.564,182.724,3896736.0,-1.2783,184.7223,19.8409,188.60850060159024,184.7223,180.83609939840974
2023-08-04 14:45:00,182.714,182.855,181.825,182.104,4066948.0,-1.5893,184.5752,17.6398,188.4337803279677,184.5752,180.7166196720323
2023-08-04 15:00:00,182.11,182.825,182.074,182.778,3128816.0,-1.0947,184.4741,26.9174,188.32696480488082,184.4741,180.62123519511917
2023-08-04 15:15:00,182.805,182.994,182.224,182.444,3109396.0,-1.3075,184.3532,25.4235,188.22857040433183,184.3532,180.47782959566814
2023-08-04 15:30:00,182.455,182.635,181.894,181.999,3247280.0,-1.6222,184.2032,23.5876,188.08489447294573,184.2032,180.32150552705428
2023-08-04 15:45:00,182.005,182.255,181.675,181.745,8712205.0,-1.8178,184.0349,22.6067,187.93389570500062,184.0349,180.13590429499936
2023-08-04 16:00:00,181.754,181.856,181.485,181.515,17757560.0,-2.0479,183.8452,21.7448,187.76054580654204,183.8452,179.92985419345797
2023-08-04 16:15:00,181.546,195.947,181.465,181.785,360638.0,-1.7697,183.6814,25.2657,187.60697391401524,183.6814,179.75582608598475
2023-08-04 16:30:00,181.805,181.956,181.555,181.825,395923.0,-1.5971,183.5339,25.7864,186.87756075586373,183.5339,180.19023924413625
2023-08-04 16:45:00,181.825,181.936,181.745,181.885,316743.0,-1.8694,183.3606,26.5939,186.74167442195446,183.3606,179.97952557804555
2023-08-04 17:00:00,181.746,181.926,181.745,181.805,192619.0,-1.857,183.1886,26.1939,186.59487700246984,183.1886,179.78232299753017
2023-08-04 17:15:00,181.805,212.594,155.281,181.765,53284.0,-1.8706,183.0154,25.9881,186.4346808332141,183.0154,179.5961191667859
2023-08-04 17:30:00,181.761,181.786,161.652,181.655,30719.0,-1.8877,182.8406,25.4104,186.20914042350782,182.8406,179.47205957649217
2023-08-04 17:45:00,181.656,181.736,181.565,181.595,42904.0,-1.8252,182.6718,25.0901,183.72450663124775,182.6718,181.61909336875223
2023-08-04 18:00:00,181.616,181.646,181.575,181.595,27104.0,-1.6976,182.515,25.0901,183.53594404828013,182.515,181.49405595171984
2023-08-04 18:15:00,181.606,181.646,181.585,181.615,18151.0,-1.6868,182.3592,25.4372,183.3370154934303,182.3592,181.38138450656967
2023-08-04 18:30:00,181.616,181.656,181.605,181.635,21782.0,-1.7127,182.201,25.7991,183.13132991633475,182.201,181.27067008366524
2023-08-04 18:45:00,181.656,181.706,181.605,181.655,15469.0,-1.6278,182.0507,26.1763,182.9293721614246,182.0507,181.17202783857542
2023-08-04 19:00:00,181.656,181.656,181.605,181.615,13694.0,-1.1737,181.9428,25.8991,182.76461043545575,181.9428,181.12098956454426
2023-08-04 19:15:00,181.636,181.736,181.605,181.645,15759.0,-0.8044,181.8692,26.5134,182.62569819517918,181.8692,181.11270180482083
2023-08-04 19:30:00,181.646,181.726,181.615,181.705,19626.0,-0.5577,181.8182,27.774,182.5053761310602,181.8182,181.1310238689398
2023-08-04 19:45:00,181.716,181.811,181.625,181.81,48536.0,-0.1614,181.8035,29.9863,182.41021530170346,181.8035,181.19678469829657
2023-08-07 04:00:00,183.973,183.973,182.294,182.684,55596.0,-0.0514,181.7988,44.8008,182.32481160684674,181.7988,181.27278839315326
2023-08-07 04:15:00,182.704,182.795,182.633,182.664,10993.0,0.1206,181.8098,44.5736,182.27791241715948,181.8098,181.3416875828405
2023-08-07 04:30:00,182.664,182.805,182.554,182.744,26409.0,0.4093,181.8471,45.7323,182.32182106307857,181.8471,181.37237893692145
2023-08-07 04:45:00,182.744,182.825,182.474,182.624,20421.0,0.4836,181.891,44.271,182.90832184296556,181.891,180.87367815703442
2023-08-07 05:00:00,182.624,182.655,182.524,182.574,10705.0,0.5834,181.944,43.6591,183.92652373244775,181.944,179.96147626755223
2023-08-07 05:15:00,182.574,182.765,182.554,182.753,5523.0,0.5325,181.9924,46.4483,184.41033188780122,181.9924,179.5744681121988
2023-08-07 05:30:00,182.764,182.954,182.763,182.873,11197.0,0.5764,182.0448,48.2559,184.74892385850134,182.0448,179.34067614149868
2023-08-07 05:45:00,182.884,182.905,182.604,182.654,11688.0,0.4228,182.0832,45.3173,185.0628202142326,182.0832,179.1035797857674
