date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-08-08 04:30:00,248.46,248.94,248.3,248.78,20165.0,-0.48,251.3465,40.1583,253.3052284510982,251.3465,249.38777154890178
2023-08-08 04:45:00,248.8,248.82,248.33,248.79,17626.0,-1.0421,251.2155,40.222,253.16277837634112,251.2155,249.26822162365886
2023-08-08 05:00:00,248.8,249.0,248.64,248.8,26715.0,-1.1953,251.065,40.2889,253.09659010091184,251.065,249.03340989908816
2023-08-08 05:15:00,248.73,249.79,248.6,249.23,26901.0,-1.2168,250.9115,43.1665,252.899403341719,250.9115,248.92359665828099
2023-08-08 05:30:00,249.3,249.66,249.16,249.58,10681.0,-0.9348,250.7938,45.4201,252.84491390079376,250.7938,248.74268609920625
2023-08-08 05:45:00,249.58,249.7,249.31,249.31,17255.0,-1.1185,250.6528,44.0032,252.78178785498207,250.6528,248.52381214501796
2023-08-08 06:00:00,249.36,249.38,248.84,249.22,15113.0,-1.1071,250.5133,43.5268,252.6768338593018,250.5133,248.34976614069816
2023-08-08 06:15:00,249.22,249.36,248.46,248.78,16907.0,-1.2464,250.3563,41.2295,252.4784324760074,250.3563,248.2341675239926
2023-08-08 06:30:00,248.88,248.88,247.59,248.12,41346.0,-1.3792,250.1828,38.058,252.26207431675613,250.1828,248.10352568324384
2023-08-08 06:45:00,248.11,248.4,247.99,248.16,16364.0,-1.4064,250.0058,38.3605,252.102240464214,250.0058,247.909359535786
2023-08-08 07:00:00,248.24,248.81,246.84,247.04,130598.0,-1.789,249.7808,33.5339,251.90014139915974,249.7808,247.66145860084026
2023-08-08 07:15:00,247.04,247.2,246.55,246.88,79419.0,-1.9539,249.5348,32.9112,251.6583344064905,249.5348,247.41126559350948
2023-08-08 07:30:00,246.87,246.88,246.03,246.65,101117.0,-2.0414,249.2778,32.0117,251.36905279223876,249.2778,247.18654720776127
2023-08-08 07:45:00,246.65,247.1,246.23,247.08,59029.0,-1.8375,249.0465,35.4818,251.0555568745701,249.0465,247.03744312542992
2023-08-08 08:00:00,248.225,251.45,246.03,246.41,439981.0,-2.1173,248.78,32.741,250.73337060742094,248.78,246.82662939257906
2023-08-08 08:15:00,246.44,247.0,246.41,246.84,102088.0,-1.9231,248.538,36.0768,250.5468925872262,248.538,246.5291074127738
2023-08-08 08:30:00,246.83,247.61,246.525,247.5,137220.0,-1.6647,248.3285,40.8192,250.33018559381506,248.3285,246.32681440618492
