date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-08-04 09:00:00,330.452,330.784,326.404,330.747,40550.0,0.1071,329.4076,53.4396,330.6388,329.4076,328.1763
2023-08-04 09:15:00,330.712,331.602,330.56,331.291,60523.0,0.3842,329.471,58.1019,330.9316,329.471,328.0103
2023-08-04 09:30:00,331.181,334.436,330.979,331.261,3658894.0,0.4997,329.5533,57.7661,331.2096,329.5533,327.897
2023-08-04 09:45:00,331.236,332.37,329.133,329.812,1628183.0,0.0813,329.5667,44.6475,331.2268,329.5667,327.9066
2023-08-04 10:00:00,329.778,330.375,328.28,329.973,1145670.0,0.0968,329.5827,46.0797,331.2519,329.5827,327.9134
2023-08-04 10:15:00,329.944,330.668,329.133,330.373,734402.0,0.1331,329.6046,49.4971,331.303,329.6046,327.9062
2023-08-04 10:30:00,330.442,331.732,330.301,330.712,766668.0,0.2966,329.6535,52.1997,331.419,329.6535,327.888
2023-08-04 10:45:00,330.73,331.382,330.51,331.041,568866.0,0.4116,329.7214,54.6774,331.5878,329.7214,327.8549
2023-08-04 11:00:00,331.081,332.257,330.85,331.62,548755.0,0.6999,329.8366,58.6482,331.866,329.8366,327.8072
2023-08-04 11:15:00,331.62,332.165,331.408,331.984,431466.0,0.8043,329.9691,60.9143,332.1872,329.9691,327.7509
2023-08-04 11:30:00,332.019,332.3,331.498,332.049,507966.0,0.8333,330.1063,61.3128,332.4773,330.1063,327.7352
2023-08-04 11:45:00,332.039,332.839,331.947,332.189,522972.0,0.9982,330.2704,62.1869,332.7389,330.2704,327.8019
2023-08-04 12:00:00,332.199,332.56,331.917,332.309,408383.0,1.1481,330.459,62.9423,332.9452,330.459,327.9728
2023-08-04 12:15:00,332.289,333.377,332.108,332.997,558076.0,1.3668,330.6835,66.9296,333.2342,330.6835,328.1328
2023-08-04 12:30:00,333.007,333.568,332.795,333.546,620193.0,1.5648,330.9405,69.6707,333.5566,330.9405,328.3243
2023-08-04 12:45:00,333.546,333.598,333.095,333.117,322111.0,1.3728,331.166,65.2239,333.7152,331.166,328.6168
2023-08-04 13:00:00,333.117,333.268,332.147,332.359,452662.0,1.0437,331.3377,58.3027,333.7171,331.3377,328.9582
2023-08-04 13:15:00,332.339,332.36,331.079,331.63,462908.0,0.6755,331.4489,52.6471,333.6585,331.4489,329.2393
2023-08-04 13:30:00,331.62,331.814,331.289,331.54,604835.0,0.6145,331.5502,51.9917,333.5737,331.5502,329.5266
2023-08-04 13:45:00,331.54,332.111,330.893,331.196,405161.0,0.2248,331.5873,49.5118,333.5555,331.5873,329.6191
2023-08-04 14:00:00,331.131,331.158,329.453,330.123,733525.0,-0.1887,331.5561,42.8076,333.5951,331.5561,329.5171
2023-08-04 14:15:00,330.113,330.185,328.789,329.095,611551.0,-0.6629,331.4463,37.6643,333.7499,331.4463,329.1427
2023-08-04 14:30:00,329.075,329.676,328.155,328.656,520861.0,-0.7864,331.3161,35.7343,333.9216,331.3161,328.7105
2023-08-04 14:45:00,328.636,329.347,328.105,328.337,561712.0,-0.4472,331.2423,34.3866,334.0865,331.2423,328.3981
2023-08-04 15:00:00,328.267,328.708,327.347,328.277,863754.0,-0.514,331.1575,34.1317,334.2393,331.1575,328.0757
2023-08-04 15:15:00,328.322,328.498,327.157,327.683,675412.0,-0.8142,331.023,31.6844,334.4459,331.023,327.6001
2023-08-04 15:30:00,327.708,328.039,326.868,326.923,603300.0,-1.1457,330.8336,28.8941,334.6956,330.8336,326.9715
2023-08-04 15:45:00,326.937,327.261,326.549,327.11,1660326.0,-1.1875,330.637,30.4798,334.8233,330.637,326.4507
2023-08-04 16:00:00,327.11,327.511,327.078,327.229,4292238.0,-1.3241,330.4175,31.503,334.829,330.4175,326.0059
2023-08-04 16:15:00,327.09,327.431,327.088,327.309,14754.0,-1.4082,330.1837,32.2091,334.7318,330.1837,325.6356
2023-08-04 16:30:00,327.349,330.331,327.177,327.239,5561.0,-1.4486,329.9432,31.9061,334.5792,329.9432,325.3072
2023-08-04 16:45:00,327.239,333.777,326.918,327.12,139866.0,-1.5259,329.6898,31.3781,334.361,329.6898,325.0185
2023-08-04 17:00:00,327.09,327.311,237.302,327.209,56602.0,-1.5347,329.4348,32.2607,334.0628,329.4348,324.8067
2023-08-04 17:15:00,327.13,327.211,282.372,327.06,3999.0,-1.7829,329.1379,31.5457,333.5715,329.1379,324.7043
2023-08-04 17:30:00,327.05,327.091,326.878,326.94,4550.0,-1.9805,328.8076,30.9638,332.8449,328.8076,324.7703
2023-08-04 17:45:00,326.94,327.012,326.808,326.94,4176.0,-1.8543,328.4987,30.9638,332.0907,328.4987,324.9068
2023-08-04 18:00:00,327.01,327.062,326.808,327.06,1431.0,-1.5944,328.2338,32.3464,331.4047,328.2338,325.0629
2023-08-04 18:15:00,326.96,327.161,326.868,327.09,1855.0,-1.369,328.0068,32.7011,330.8003,328.0068,325.2133
2023-08-04 18:30:00,327.05,327.161,326.868,326.9,1670.0,-1.3995,327.7748,31.5968,330.0849,327.7748,325.4647
2023-08-04 18:45:00,326.9,327.091,326.868,327.07,1315.0,-1.2458,327.5685,33.7054,329.2787,327.5685,325.8583
2023-08-04 19:00:00,327.09,327.111,326.908,327.09,2118.0,-0.9187,327.4168,33.9575,328.6712,327.4168,326.1625
2023-08-04 19:15:00,327.09,327.311,326.958,327.1,3594.0,-0.6062,327.3171,34.0894,328.3124,327.3171,326.3218
2023-08-04 19:30:00,327.11,327.311,326.908,327.06,1552.0,-0.4856,327.2373,33.8051,328.0246,327.2373,326.45
2023-08-04 19:45:00,326.95,327.091,326.818,327.09,1644.0,-0.3798,327.1749,34.2381,327.7805,327.1749,326.5694
2023-08-07 04:00:00,329.105,331.971,327.906,329.395,6046.0,0.3406,327.2309,56.992,328.2782,327.2309,326.1835
2023-08-07 04:15:00,329.405,329.427,329.053,329.055,4659.0,0.4187,327.2995,54.0863,328.6044,327.2995,325.9945
2023-08-07 04:30:00,329.085,329.087,328.475,328.547,1843.0,0.4968,327.3807,50.0713,328.7804,327.3807,325.9809
